PARAM,AVG_TIME,RUN,FAILED
1,91.32094600000002,1,0
1,89.56896699999996,2,0
1,92.04572599999992,3,0
10,317.23559699999964,1,0
10,316.78503100000006,2,0
10,332.34978400000017,3,1
20,571.0203189999994,1,1
20,590.7910239999989,2,0
20,575.7868170000008,3,1
50,1404.6485909999983,1,0
50,1421.5953299999996,2,0
50,1436.8922619999994,3,1
100,2781.372671999998,1,1
100,2851.066873000001,2,0
100,2598.777446999998,3,1
1000,6293.020997,1,1
1000,6082.846483999993,2,0
1000,6223.593007999998,3,0
